request_rate,time_gap_ms,failed_logins,packet_size_kb,payload_entropy,label
1.46,378.56,0,7.41,4.66,Normal
21.05,125.52,7,0.41,7.4,Attack
16.79,36.03,8,0.81,7.37,Attack
1.99,737.13,2,5.35,4.49,Normal
2.88,620.24,0,8.19,4.37,Normal
2.84,1066.26,0,8.2,4.62,Normal
3.46,649.17,0,2.1,2.56,Normal
21.8,120.9,15,0.5,8.35,Attack
23.94,116.1,6,0.41,8.34,Attack
15.38,90.36,15,0.52,7.64,Attack
20.94,55.67,6,0.89,6.69,Attack
23.35,68.05,10,0.37,7.97,Attack
10.46,81.89,12,0.43,7.57,Attack
2.97,1196.4,0,4.32,3.92,Normal
3.08,523.66,1,5.91,3.03,Normal
1.09,974.96,2,2.69,3.62,Normal
1.95,1195.31,0,1.94,4.37,Normal
8.97,24.49,7,0.81,6.88,Attack
2.3,940.22,1,9.68,4.0,Normal
14.15,54.23,5,1.29,6.29,Attack
3.86,623.98,1,5.55,4.52,Normal
18.0,68.06,11,0.69,8.15,Attack
20.15,28.0,10,0.8,7.86,Attack
14.85,138.75,6,0.63,6.32,Attack
1.36,201.73,0,5.18,4.31,Normal
0.95,507.61,0,1.97,3.08,Normal
0.58,928.39,2,7.06,3.47,Normal
3.52,1188.36,0,6.99,4.06,Normal
4.31,1016.98,0,5.24,2.31,Normal
2.44,967.01,2,1.96,2.39,Normal
1.98,679.19,1,8.83,2.13,Normal
3.22,585.66,0,2.54,2.3,Normal
0.55,726.11,0,2.35,4.53,Normal
1.15,992.09,2,7.71,3.44,Normal
2.84,1076.86,1,5.69,3.85,Normal
20.35,33.21,8,1.17,8.68,Attack
11.92,26.45,8,0.43,8.44,Attack
2.86,446.5,0,6.9,3.49,Normal
4.78,224.34,2,6.27,3.22,Normal
4.22,1058.6,2,3.91,3.01,Normal
4.54,1041.51,1,4.16,3.48,Normal
17.22,81.54,11,0.91,7.37,Attack
1.56,470.01,2,3.93,3.08,Normal
23.01,68.2,10,0.38,8.98,Attack
0.69,310.4,2,5.74,2.83,Normal
1.69,271.53,1,9.02,3.33,Normal
1.34,476.09,0,3.8,4.13,Normal
15.91,76.7,14,0.72,8.84,Attack
3.4,393.73,0,4.01,3.57,Normal
14.01,113.51,12,0.62,6.85,Attack
2.04,603.33,0,1.8,3.5,Normal
4.04,884.46,1,4.69,3.13,Normal
4.99,709.22,0,3.71,2.87,Normal
17.2,82.26,4,0.56,6.5,Attack
14.94,124.26,14,0.16,7.52,Attack
1.8,364.27,1,2.13,3.69,Normal
1.82,824.61,1,6.73,2.35,Normal
4.04,497.63,2,6.82,3.16,Normal
16.72,80.91,15,0.51,7.12,Attack
3.54,1038.4,0,6.16,3.11,Normal
20.78,62.18,14,0.84,8.41,Attack
23.02,69.73,11,0.76,8.16,Attack
12.63,59.56,4,0.98,6.62,Attack
1.22,692.47,0,7.8,2.77,Normal
17.48,92.7,10,0.24,8.63,Attack
4.19,772.37,1,7.54,2.03,Normal
15.76,65.79,13,0.55,6.63,Attack
3.06,724.12,0,6.98,3.21,Normal
16.69,25.21,5,1.4,8.51,Attack
22.57,86.43,11,1.07,9.0,Attack
19.61,68.26,9,0.74,7.56,Attack
11.44,49.56,4,0.77,7.61,Attack
20.96,110.09,9,0.87,6.19,Attack
2.15,1050.11,2,1.87,4.49,Normal
18.64,141.26,4,0.74,8.96,Attack
0.53,1022.68,0,6.37,2.22,Normal
1.9,459.99,1,2.44,4.79,Normal
20.72,35.43,7,0.28,7.16,Attack
1.49,789.0,2,9.28,4.7,Normal
12.88,86.41,10,0.17,8.73,Attack
13.64,47.18,15,1.0,7.17,Attack
1.62,924.36,0,2.94,3.68,Normal
20.31,102.34,13,0.22,6.87,Attack
23.78,127.08,12,0.66,7.57,Attack
23.74,37.11,13,1.39,6.21,Attack
18.37,126.54,5,0.52,6.39,Attack
23.41,114.33,4,1.11,6.04,Attack
9.77,73.63,10,0.2,7.94,Attack
0.52,1016.94,1,6.83,3.97,Normal
1.54,1162.52,0,9.77,3.02,Normal
9.37,26.86,13,0.38,8.55,Attack
3.51,387.21,2,4.82,2.77,Normal
2.55,386.73,0,1.06,2.26,Normal
0.7,1042.15,0,2.6,2.77,Normal
20.2,51.45,6,1.14,6.2,Attack
16.68,144.65,7,0.63,8.03,Attack
2.21,846.07,1,2.85,4.78,Normal
0.92,1161.93,0,9.94,3.79,Normal
20.32,127.43,7,1.14,7.03,Attack
23.32,114.77,4,0.45,6.45,Attack
1.84,1090.2,2,6.32,3.47,Normal
12.05,107.09,11,1.11,6.97,Attack
1.37,965.07,1,2.64,2.65,Normal
3.93,961.42,2,1.02,3.53,Normal
15.14,39.65,14,0.61,7.92,Attack
8.52,109.54,8,1.5,8.52,Attack
4.54,1039.0,1,7.42,4.63,Normal
10.12,53.28,5,0.32,6.11,Attack
1.71,361.69,1,2.76,2.28,Normal
20.97,78.35,15,1.11,8.07,Attack
20.43,116.07,11,1.34,6.85,Attack
3.33,710.67,2,6.53,4.03,Normal
18.79,134.69,4,0.13,6.74,Attack
14.97,133.59,7,1.07,7.76,Attack
2.2,1178.41,1,2.2,4.55,Normal
15.97,48.29,15,0.43,6.18,Attack
20.18,24.68,7,0.19,8.16,Attack
9.02,49.94,14,0.18,8.12,Attack
10.52,63.89,15,0.27,7.21,Attack
23.55,41.17,7,0.15,7.64,Attack
2.25,257.49,1,4.53,2.37,Normal
23.26,97.36,13,1.12,8.03,Attack
4.96,670.86,0,9.09,3.91,Normal
17.39,85.4,15,1.42,6.78,Attack
3.37,926.59,1,5.39,4.14,Normal
17.61,116.3,11,0.93,6.75,Attack
3.51,507.95,1,1.1,4.62,Normal
0.82,397.84,0,9.33,3.58,Normal
0.95,1039.02,0,1.68,2.92,Normal
1.8,460.84,0,2.74,2.34,Normal
4.59,1045.67,1,1.06,4.21,Normal
12.15,136.08,10,0.25,8.84,Attack
0.95,883.68,0,4.02,4.82,Normal
13.92,88.98,13,0.54,6.82,Attack
4.52,391.55,2,4.15,2.26,Normal
22.84,26.95,15,0.17,8.01,Attack
2.78,629.71,1,8.03,3.86,Normal
18.78,29.22,9,1.15,7.89,Attack
3.98,948.27,2,7.51,3.29,Normal
0.66,310.67,2,6.74,3.4,Normal
3.37,540.91,2,8.92,3.96,Normal
4.77,335.47,1,9.14,4.39,Normal
2.72,856.62,2,3.85,2.36,Normal
16.92,106.33,10,1.03,6.27,Attack
2.61,468.61,0,7.84,2.81,Normal
20.29,67.98,4,1.18,7.61,Attack
0.76,1073.0,2,3.31,3.58,Normal
1.24,944.85,0,5.48,4.68,Normal
10.58,56.61,14,1.18,6.59,Attack
3.16,1011.14,0,9.72,4.63,Normal
1.57,759.63,0,5.94,4.17,Normal
10.75,113.97,11,0.71,8.56,Attack
4.02,947.61,0,4.73,4.64,Normal
8.28,67.27,13,1.38,6.71,Attack
8.56,142.75,7,0.9,6.22,Attack
22.69,86.75,12,1.41,8.68,Attack
24.43,87.21,12,0.86,7.98,Attack
1.26,895.35,1,2.71,4.08,Normal
1.82,1169.09,1,6.91,4.47,Normal
23.82,86.98,13,0.32,6.95,Attack
2.77,551.85,2,1.82,2.03,Normal
10.21,149.6,10,0.14,6.5,Attack
1.79,269.5,1,2.87,2.58,Normal
4.94,733.76,1,3.32,4.73,Normal
15.33,65.45,7,0.41,6.03,Attack
1.58,815.52,1,7.99,2.95,Normal
10.16,47.14,7,0.89,6.91,Attack
17.88,130.0,10,0.64,8.3,Attack
1.2,897.23,1,2.03,3.32,Normal
24.14,21.06,4,1.34,8.39,Attack
1.58,642.06,2,2.34,4.35,Normal
4.54,379.72,2,5.18,4.66,Normal
13.1,52.62,6,0.18,7.28,Attack
0.61,677.41,1,7.59,4.95,Normal
19.28,136.47,15,1.29,6.13,Attack
11.95,131.55,14,1.47,6.23,Attack
1.3,585.67,0,2.21,4.84,Normal
3.01,932.07,2,5.81,4.99,Normal
23.79,38.57,10,0.89,8.4,Attack
13.17,38.84,10,0.41,6.09,Attack
10.17,65.32,9,0.16,6.28,Attack
20.09,97.15,15,0.7,7.15,Attack
1.72,513.44,1,7.16,3.18,Normal
1.08,1101.93,2,7.0,2.32,Normal
12.29,103.56,11,0.55,8.27,Attack
12.05,68.2,4,0.37,6.51,Attack
4.38,370.67,0,7.87,3.1,Normal
1.19,416.01,1,7.25,4.43,Normal
21.95,71.0,5,0.91,7.91,Attack
2.46,1057.76,0,2.89,2.78,Normal
1.59,320.58,0,6.88,4.04,Normal
13.18,83.26,12,1.38,7.36,Attack
1.79,230.12,0,9.58,3.52,Normal
1.24,464.39,1,5.26,2.89,Normal
13.4,98.54,13,1.48,6.6,Attack
20.7,93.67,8,0.86,7.6,Attack
1.71,729.61,2,9.3,2.83,Normal
0.64,829.39,1,3.83,3.03,Normal
4.51,1176.34,0,6.67,3.78,Normal
1.83,1085.06,2,7.0,4.39,Normal
24.79,88.31,6,0.74,8.36,Attack
3.66,1079.44,2,3.91,3.02,Normal
19.36,59.95,4,0.58,6.64,Attack
21.19,77.47,10,0.5,8.26,Attack
16.9,105.98,14,0.11,6.81,Attack
2.09,929.76,1,4.64,2.41,Normal
22.28,110.09,7,0.81,8.36,Attack
10.03,31.8,10,0.86,6.01,Attack
20.53,99.12,7,0.63,8.01,Attack
19.21,105.66,6,0.78,7.81,Attack
3.42,1080.86,0,3.69,4.64,Normal
2.01,361.7,1,2.81,2.38,Normal
10.94,72.23,15,0.67,7.96,Attack
8.18,96.36,14,1.46,6.98,Attack
18.8,82.78,4,1.48,6.09,Attack
14.67,121.89,5,0.47,8.54,Attack
2.09,263.35,1,5.82,2.29,Normal
15.48,107.18,6,0.85,8.97,Attack
24.4,103.64,8,0.84,7.0,Attack
24.43,39.91,10,0.27,8.78,Attack
22.33,71.93,9,1.32,6.26,Attack
23.45,70.89,15,1.0,8.69,Attack
15.71,20.53,12,0.16,7.52,Attack
3.38,765.03,2,1.58,3.01,Normal
14.09,70.8,8,1.13,6.9,Attack
11.72,77.53,10,1.05,8.06,Attack
1.32,912.8,1,2.24,4.98,Normal
4.63,919.06,0,1.84,4.0,Normal
1.03,245.32,0,4.36,2.57,Normal
4.09,931.69,0,6.31,2.23,Normal
2.37,675.25,2,7.29,2.9,Normal
15.93,145.8,7,0.78,8.89,Attack
10.04,118.18,10,1.48,7.31,Attack
4.12,1113.39,1,2.77,4.3,Normal
11.24,118.53,10,0.79,8.87,Attack
20.91,131.57,10,0.62,7.04,Attack
3.57,352.99,0,4.67,2.19,Normal
2.0,487.78,0,2.73,4.51,Normal
8.78,118.4,10,0.56,7.83,Attack
4.95,856.09,1,3.81,3.75,Normal
17.94,132.85,5,1.19,6.8,Attack
2.31,1192.89,1,7.11,2.63,Normal
15.38,74.14,5,0.93,6.51,Attack
15.41,90.69,13,1.27,8.8,Attack
4.53,1003.5,2,2.69,4.61,Normal
2.11,377.69,1,7.49,4.78,Normal
1.78,454.19,0,5.17,2.64,Normal
15.56,103.53,5,1.02,6.56,Attack
4.8,210.41,0,1.84,3.2,Normal
3.03,1043.68,0,7.82,3.01,Normal
24.21,108.22,7,0.94,6.2,Attack
2.92,448.75,0,3.42,2.8,Normal
4.02,590.79,2,2.52,3.89,Normal
3.91,894.9,0,4.52,2.75,Normal
24.91,111.04,12,0.26,6.67,Attack
12.38,39.76,5,1.48,7.16,Attack
23.76,66.96,15,0.8,8.82,Attack
4.45,378.28,1,6.4,2.4,Normal
12.45,78.41,7,0.48,7.06,Attack
1.18,493.22,1,6.62,3.21,Normal
1.9,446.72,2,1.34,2.6,Normal
4.74,916.86,0,5.89,3.45,Normal
19.01,119.0,7,0.55,6.93,Attack
1.84,207.08,1,2.1,3.79,Normal
3.82,461.07,1,3.55,4.34,Normal
2.83,315.12,1,5.83,2.74,Normal
4.46,644.98,0,4.62,2.91,Normal
24.06,70.7,8,0.13,7.96,Attack
2.72,234.19,2,2.37,3.38,Normal
1.38,578.9,1,9.61,4.53,Normal
10.11,109.71,8,1.01,7.85,Attack
23.35,147.87,8,1.38,6.81,Attack
18.24,115.59,10,1.12,8.11,Attack
10.44,66.99,12,0.28,7.12,Attack
4.58,406.24,0,6.73,2.14,Normal
8.56,123.3,5,0.78,7.57,Attack
4.76,591.25,1,8.64,2.44,Normal
9.22,70.45,11,0.3,6.83,Attack
16.38,64.19,4,0.9,7.73,Attack
4.91,871.22,1,2.66,4.77,Normal
17.59,58.08,8,0.94,6.5,Attack
3.85,229.4,2,2.6,2.69,Normal
20.31,124.21,12,0.74,7.76,Attack
13.21,76.22,8,0.23,8.91,Attack
21.43,80.21,4,0.68,8.9,Attack
20.99,98.14,5,1.04,7.93,Attack
9.64,75.23,11,0.12,6.34,Attack
21.19,56.93,4,1.43,6.16,Attack
4.49,423.04,1,4.62,3.23,Normal
2.34,928.32,0,1.62,4.57,Normal
16.21,76.04,12,0.62,7.93,Attack
3.82,692.59,0,3.64,2.91,Normal
2.67,959.73,2,7.52,2.16,Normal
4.28,389.23,2,8.85,4.72,Normal
20.92,48.81,7,0.92,8.9,Attack
3.49,569.37,2,7.9,2.46,Normal
4.97,586.93,2,6.44,2.97,Normal
2.27,753.61,1,2.72,2.75,Normal
4.49,1181.06,1,7.23,3.68,Normal
3.71,521.52,0,4.59,2.61,Normal
21.35,76.67,6,0.35,8.35,Attack
22.43,75.59,7,0.88,7.97,Attack
24.38,146.46,5,1.27,6.61,Attack
13.01,32.1,7,0.97,6.01,Attack
1.25,748.53,2,2.28,4.06,Normal
11.85,93.34,9,1.09,7.79,Attack
9.72,105.24,14,0.17,6.48,Attack
13.93,122.91,13,0.72,8.39,Attack
3.33,530.63,0,8.82,2.32,Normal
15.37,26.44,8,0.7,8.03,Attack
15.74,21.04,9,1.13,6.79,Attack
3.09,236.9,1,1.08,2.37,Normal
1.25,670.31,0,2.09,3.22,Normal
1.45,797.4,1,5.6,4.44,Normal
22.27,73.63,8,0.55,7.87,Attack
3.84,308.29,1,6.61,3.7,Normal
